,add,location,Lat,Lon
110,"Lavapiés-Embajadores, Madrid","Lavapiés, Plaza de Lavapiés, Lavapiés, Embajadores, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28012, España",40.4084633,-3.7007946
111,"Opañel, Madrid","Opañel, Calle de Portalegre, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3869292,-3.7231777
112,"Comillas, Madrid","Universidad Pontificia Comillas - ICADE, 23, Calle de Alberto Aguilera, Arapiles, Chamberí, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.42956205,-3.7114546554076266
113,"Abrantes, Madrid","Abrantes, Avenida de Abrantes, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3809981,-3.7279849
114,"San Isidro, Madrid","San Isidro, Distrito I, Alcalá de Henares, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28807, España",40.4868083,-3.3624333
115,"Puerta Bonita, Madrid","Puerta Bonita, Calle del General Ricardos, Colonia de la Prensa, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3864775,-3.7345594
116,"Vista Alegre, Madrid","Vista Alegre, Calle de la Oca, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3887883,-3.7400441
117,"Pau de Carabanchel, Madrid","Calle Hospital de San Pau, Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3693742,-3.7626949
118,"Buena Vista, Madrid","Madrid, Buena Vista, Agropecuaria Emiliano Zapata, El Carmen, Nuevo León, México",25.8583667,-100.3739785
119,"Carabanchel, Madrid","Carabanchel, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.3742112,-3.744676
120,"Huertas-Cortes, Madrid","Calle de las Huertas, Cortes, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28014, España",40.4134769,-3.6981655
121,"Malasaña-Universidad, Madrid","Malasaña, Universidad, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4267079,-3.7042311
122,"Chueca-Justicia, Madrid","Chueca, Justicia, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4227415,-3.6993271
123,"Palacio, Madrid","Palacio, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.41512925,-3.7156179983990922
124,"Sol, Madrid","Sol, Calle de la Aduana, Sol, Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28013, España",40.4178272,-3.702222089915074
125,"Centro, Madrid","Centro, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.417652700000005,-3.7079137662915533
126,"Barrio de Salamanca, Madrid","El Barrio, 15, Plaza de Manuel Becerra, Fuente del Berro, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4277584,-3.6679512
127,"Goya, Madrid","Goya, Calle de Goya, Goya, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4248165,-3.6758426
128,"Guindalera, Madrid","Guindalera, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.436356,-3.6680189
